id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,liveness,instrumentalness,loudness_norm
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,0.12,0.04,0.82
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020s,0.08,0.85,0.44
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2010s,0.15,0.06,0.88
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38,2020s,0.11,0.78,0.38
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,71,2010s,0.09,0.03,0.90
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,29,2020s,0.06,0.91,0.18
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,33,2000s,0.62,0.22,0.40
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,55,2010s,0.14,0.65,0.76
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,42,2020s,0.10,0.80,0.45
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,67,2010s,0.17,0.05,0.78
11,Concrete Jungle,Verse City,hip-hop,groovy,0.78,95,0.68,0.85,0.12,74,2010s,0.20,0.08,0.83
12,Moonlight Sonata Reimagined,Clara Voss,classical,melancholic,0.22,58,0.31,0.20,0.97,22,2000s,0.28,0.98,0.12
13,Iron Curtain,Rustvolt,metal,aggressive,0.97,168,0.22,0.55,0.04,48,2000s,0.13,0.07,0.95
14,Velvet Hours,Sable Rose,r&b,romantic,0.55,88,0.76,0.72,0.43,58,2010s,0.25,0.09,0.60
15,Dusty Road Home,The Pines,country,nostalgic,0.44,104,0.69,0.61,0.82,36,2000s,0.48,0.11,0.50
16,Candlelight Folk,Wren & Hollow,folk,peaceful,0.30,74,0.73,0.45,0.94,27,2020s,0.55,0.42,0.22
17,Neon Rave,Pulse Grid,edm,euphoric,0.95,140,0.88,0.91,0.03,82,2020s,0.07,0.72,0.92
18,Delta Crossroads,Hound & Gray,blues,soulful,0.38,76,0.42,0.50,0.88,24,1990s,0.71,0.18,0.42
19,Island Drift,Sun & Salt,reggae,uplifting,0.57,82,0.83,0.74,0.66,44,2010s,0.32,0.14,0.55
20,Fuego Lento,Casa Ritmo,latin,dreamy,0.68,112,0.79,0.86,0.29,61,2020s,0.22,0.10,0.70
